1	7006	9746	6935	3486
2	4250	4100	9754	519
3	28	8327	6389	5151
4	9749	8338	4855	6735
5	8471	8221	4318	4530
6	7487	6081	5037	2844
7	7138	8609	3595	3085
8	6133	6299	5145	4017
9	8790	5975	7550	7477
10	6433	6510	5096	9752
11	4082	5894	5466	4137
12	6451	3415	724	7350
13	6007	6137	5140	7655
14	7023	7187	4029	3805
15	9747	9756	8330	5009
16	201	9048	6037	7172
17	7138	8790	7006	6735
18	6433	3486	3085	9749
19	9752	519	4318	5975
20	9746	2844	6451	6133
21	5096	4530	6007	5151
22	3595	5140	6081	4100
23	5037	6137	3415	8221
24	8338	9756	7550	28
25	7477	5894	201	8330
26	4855	5466	5009	7487
27	4029	4137	8471	4250
28	7350	7655	6299	6389
29	724	7172	9747	7187
30	5145	9048	4082	8327
31	3805	6510	9754	6935
32	4017	6037	7023	8609
33	28	4530	7477	4100
34	519	9746	6137	6735
35	3486	5466	4250	3595
36	6389	4029	5037	6133
37	7550	5151	6433	5894
38	8330	5975	9048	7350
39	4318	6935	6081	4082
40	3085	724	8338	9754
41	8609	6510	8790	2844
42	7655	7487	9756	4017
43	3415	6007	3805	5009
44	6299	9747	7006	6037
45	4855	6451	8327	7138
46	8221	5140	4137	7187
47	201	9752	5145	9749
48	7172	7023	8471	5096
49	6389	6935	5894	4530
50	6133	4318	8330	7487
51	3595	5151	9756	724
52	6433	6137	9747	4100
53	8327	5975	8338	5009
54	7350	5037	7550	4137
55	2844	7477	6037	3486
56	8221	28	3805	8609
57	7187	6007	7006	9749
58	4082	6735	9752	6299
59	5145	8790	6451	7023
60	9746	3085	4029	6510
61	201	8471	7655	519
62	4250	9048	5140	4855
63	5096	5466	4017	7138
64	3415	7172	6081	9754
65	8609	4137	5975	5151
66	6137	3486	7187	6299
67	5894	9752	9747	6133
68	7550	4100	6007	6451
69	7655	4082	4029	9749
70	3085	2844	4855	8471
71	4250	6389	7487	7023
72	6935	7350	6735	201
73	8327	8221	6433	9756
74	7172	28	5466	9746
75	3805	3595	9048	4318
76	519	6081	7477	7006
77	7138	724	8330	4530
78	9754	5009	5096	5037
79	6510	6037	5145	5140
80	4017	8338	8790	3415
81	9747	7655	3085	4250
82	6007	7023	2844	28
83	8609	9756	4318	7172
84	4100	8471	6735	3805
85	7138	519	9048	6433
86	8330	9749	8327	5466
87	5096	7487	4137	6037
88	5975	5037	3595	4855
89	3486	5151	8338	6510
90	7006	4029	201	3415
91	4017	7550	6137	9754
92	6081	5145	7187	7350
93	4082	724	8790	6389
94	5140	4530	9752	6451
95	6133	7477	6935	8221
96	5009	5894	9746	6299
97	9749	9747	7487	5975
98	9756	6735	3415	3085
99	4137	3805	8338	7006
100	6137	3595	28	4029
101	6037	8330	4100	4082
102	6451	4318	4017	4250
103	6133	7187	8327	5096
104	8221	5009	6081	7138
105	201	724	6433	2844
106	6299	9048	6935	5151
107	7550	9746	7023	5140
108	4530	5145	7655	5466
109	8609	9752	3486	7350
110	7477	6510	6007	5037
111	9754	8790	5894	8471
112	4855	6389	7172	519
113	9749	4250	3805	6133
114	5096	6081	724	9048
115	8327	9747	7550	6935
116	9756	5140	5975	6299
117	4029	3486	5145	7138
118	2844	4100	7655	4137
119	3085	6007	201	8221
120	8609	9754	6389	9746
121	8471	5037	9752	5466
122	4017	7006	8330	6510
123	6433	4318	4855	7477
124	7350	7023	5151	5009
125	6037	6735	5894	28
126	8790	7172	4530	6137
127	519	7487	3595	3415
128	7187	4082	6451	8338
129	4250	9746	5145	8221
130	5466	5140	6133	201
131	6081	8330	7550	6389
132	8471	6299	8327	6007
133	4855	4137	9756	9752
134	9754	7023	5975	7138
135	5096	4318	5894	3486
136	7350	4530	4082	9747
137	8790	3805	519	6037
138	4017	5151	7187	5037
139	9048	9749	3415	6510
140	7477	5009	6137	3085
141	7006	4100	8609	724
142	4029	8338	2844	6935
143	6735	3595	7655	7172
144	6433	6451	28	7487
